work_order_number,facility_id,demo_mode,material_code,supplier_id,machine_id,shift_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,units_produced,units_scrapped,quality_issues,production_period_start,production_period_end,upload_timestamp
WO-PROD-2000,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-305,NIGHT,16441.76,22490.54,35.5,35.3,467,9,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035159
WO-PROD-2001,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-101,NIGHT,13882.6,18376.96,53.9,53.1,214,19,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.035172
WO-PROD-2002,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-204,DAY,12875.09,17336.05,68.6,71.6,257,19,False,2025-10-02,2025-10-04,2025-10-07T15:32:56.035180
WO-PROD-2003,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-204,DAY,14577.06,19291.49,64.6,60.9,246,18,False,2025-09-11,2025-09-13,2025-10-07T15:32:56.035186
WO-PROD-2004,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-101,NIGHT,17976.86,24438.18,48.5,54.3,536,19,False,2025-10-05,2025-10-07,2025-10-07T15:32:56.035192
WO-PROD-2005,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-204,NIGHT,12473.45,16692.83,64.0,66.9,398,14,False,2025-09-10,2025-09-12,2025-10-07T15:32:56.035198
WO-PROD-2006,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-204,NIGHT,13803.81,18319.55,48.4,46.4,434,9,False,2025-09-25,2025-09-27,2025-10-07T15:32:56.035203
WO-PROD-2007,1,True,MAT-STEEL-304,SUP-ACME-STEEL,M-305,DAY,12331.4,16415.35,44.7,44.9,570,18,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.035208
WO-PROD-2008,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-204,NIGHT,11021.81,11376.4,57.6,57.3,456,13,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.035214
WO-PROD-2009,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,DAY,13080.43,13880.09,39.9,42.1,555,16,False,2025-09-26,2025-09-28,2025-10-07T15:32:56.035220
WO-PROD-2010,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,DAY,9190.08,9859.59,75.9,71.3,337,11,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.035226
WO-PROD-2011,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,DAY,14442.95,15429.9,73.0,76.2,231,10,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035231
WO-PROD-2012,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,NIGHT,11558.28,11565.35,80.0,83.1,200,7,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.035237
WO-PROD-2013,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,NIGHT,8951.35,8541.43,72.2,68.6,257,5,False,2025-09-27,2025-09-29,2025-10-07T15:32:56.035242
WO-PROD-2014,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,DAY,12865.7,13485.73,51.3,48.3,299,9,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.035248
WO-PROD-2015,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-204,NIGHT,14662.86,14780.01,42.4,42.2,362,19,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.035253
WO-PROD-2016,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-101,DAY,11125.21,10667.51,47.2,44.1,503,16,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.035259
WO-PROD-2017,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,13041.41,13407.48,78.6,86.7,464,14,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035264
WO-PROD-2018,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,NIGHT,13165.44,12768.98,59.8,61.4,371,7,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.035271
WO-PROD-2019,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,DAY,8788.03,8999.22,51.3,53.4,491,19,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035277
