work_order_number,facility_id,demo_mode,material_code,supplier_id,machine_id,shift_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,units_produced,units_scrapped,quality_issues,production_period_start,production_period_end,upload_timestamp
WO-PROD-5000,1,True,MAT-PLASTIC-101,SUP-DELTA,M-204,NIGHT,13095.14,16336.06,59.3,71.8,494,128,True,2025-09-08,2025-09-10,2025-10-07T15:32:56.040015
WO-PROD-5001,1,True,MAT-RESIN-204,SUP-DELTA,M-305,NIGHT,11173.0,12956.04,52.5,65.1,322,85,True,2025-09-16,2025-09-18,2025-10-07T15:32:56.040024
WO-PROD-5002,1,True,MAT-PLASTIC-101,SUP-DELTA,M-101,DAY,11598.0,14014.06,35.3,47.9,395,111,True,2025-10-01,2025-10-03,2025-10-07T15:32:56.040031
WO-PROD-5003,1,True,MAT-PLASTIC-101,SUP-DELTA,M-204,NIGHT,10468.39,12147.49,35.0,44.9,329,90,True,2025-09-14,2025-09-16,2025-10-07T15:32:56.040036
WO-PROD-5004,1,True,MAT-RESIN-204,SUP-DELTA,M-204,DAY,9946.99,12421.26,60.0,82.0,301,78,True,2025-09-20,2025-09-22,2025-10-07T15:32:56.040042
WO-PROD-5005,1,True,MAT-RESIN-204,SUP-DELTA,M-204,NIGHT,11718.63,14682.52,46.1,57.4,455,113,True,2025-10-02,2025-10-04,2025-10-07T15:32:56.040048
WO-PROD-5006,1,True,MAT-RESIN-204,SUP-DELTA,M-204,DAY,11270.18,14170.49,59.4,81.4,367,110,True,2025-09-28,2025-09-30,2025-10-07T15:32:56.040053
WO-PROD-5007,1,True,MAT-RESIN-204,SUP-DELTA,M-204,DAY,13050.44,15967.15,52.4,72.3,421,129,True,2025-09-15,2025-09-17,2025-10-07T15:32:56.040058
WO-PROD-5008,1,True,MAT-PLASTIC-101,SUP-DELTA,M-305,NIGHT,13310.62,16316.43,49.0,62.6,467,125,True,2025-09-07,2025-09-09,2025-10-07T15:32:56.040064
WO-PROD-5009,1,True,MAT-PLASTIC-101,SUP-DELTA,M-305,DAY,11208.36,12938.64,40.8,51.8,341,105,True,2025-09-26,2025-09-28,2025-10-07T15:32:56.040069
