work_order_number,facility_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,material_code,supplier_id,units_produced,units_scrapped,quality_issues,machine_id,production_period_start,production_period_end
AUTO-PROD-1000,1,12697.62,17283.57,96.6,97.2,STEEL-304L,SUP-AUTO-001,266,3,True,PRESS-305,2025-10-08,2025-10-13
AUTO-PROD-1001,1,7712.97,8246.36,53.4,59.8,ALUM-6061,SUP-AUTO-003,246,3,True,WELD-401,2025-10-10,2025-10-14
AUTO-PROD-1002,1,3252.49,3347.37,65.6,71.7,RUBBER-EPDM,SUP-AUTO-003,545,9,False,CNC-202,2025-09-20,2025-09-23
AUTO-PROD-1003,1,5054.68,4965.45,54.1,59.8,PLASTIC-ABS,SUP-AUTO-003,475,5,False,CNC-101,2025-09-27,2025-09-29
AUTO-PROD-1004,1,3450.15,3366.25,91.2,88.4,RUBBER-EPDM,SUP-AUTO-001,261,4,True,PRESS-305,2025-09-22,2025-09-27
AUTO-PROD-1005,1,5857.62,6145.45,64.2,71.5,PLASTIC-ABS,SUP-AUTO-002,516,8,True,CNC-101,2025-09-24,2025-09-29
AUTO-PROD-1006,1,8873.12,8669.02,74.2,71.7,ALUM-6061,SUP-AUTO-003,349,5,True,CNC-101,2025-10-12,2025-10-15
AUTO-PROD-1007,1,2971.68,3860.31,114.6,112.3,RUBBER-EPDM,SUP-AUTO-002,431,8,True,WELD-401,2025-09-25,2025-09-27
AUTO-PROD-1008,1,5495.36,5462.56,41.6,41.4,PLASTIC-ABS,SUP-AUTO-002,351,5,False,PRESS-305,2025-09-20,2025-09-22
AUTO-PROD-1009,1,5690.38,5999.97,96.1,93.6,PLASTIC-ABS,SUP-AUTO-001,561,10,False,CNC-101,2025-09-13,2025-09-15
AUTO-PROD-1010,1,12474.83,13264.19,50.1,50.4,STEEL-304L,SUP-AUTO-001,284,1,False,CNC-101,2025-09-24,2025-09-29
AUTO-PROD-1011,1,11254.88,15077.42,91.4,96.7,STEEL-304L,SUP-AUTO-003,315,4,True,CNC-202,2025-09-29,2025-10-02
AUTO-PROD-1012,1,11180.62,14967.25,84.7,93.4,STEEL-304L,SUP-AUTO-001,557,8,True,CNC-101,2025-10-12,2025-10-15
AUTO-PROD-1013,1,12489.36,12642.47,48.7,46.9,STEEL-304L,SUP-AUTO-002,307,3,True,CNC-202,2025-10-01,2025-10-06
AUTO-PROD-1014,1,3367.9,3222.43,70.3,77.2,RUBBER-EPDM,SUP-AUTO-003,549,5,False,WELD-401,2025-09-28,2025-10-02
AUTO-PROD-1015,1,5382.95,5510.67,58.0,61.3,PLASTIC-ABS,SUP-AUTO-002,473,2,True,PRESS-305,2025-10-08,2025-10-10
AUTO-PROD-1016,1,8082.54,7880.86,74.4,83.3,ALUM-6061,SUP-AUTO-001,409,7,False,CNC-101,2025-10-08,2025-10-13
AUTO-PROD-1017,1,2987.95,2967.92,108.8,116.7,RUBBER-EPDM,SUP-AUTO-003,440,5,True,PRESS-305,2025-10-09,2025-10-12
AUTO-PROD-1018,1,5386.65,5472.91,62.0,57.5,PLASTIC-ABS,SUP-AUTO-001,371,2,True,CNC-202,2025-10-09,2025-10-11
AUTO-PROD-1019,1,8382.53,8881.94,116.3,124.6,ALUM-6061,SUP-AUTO-001,357,7,True,CNC-101,2025-10-01,2025-10-06
AUTO-PROD-1020,1,3078.6,3166.8,112.9,107.0,RUBBER-EPDM,SUP-AUTO-002,224,0,False,CNC-202,2025-09-20,2025-09-23
AUTO-PROD-1021,1,5508.55,5507.47,96.2,99.9,PLASTIC-ABS,SUP-AUTO-002,485,2,True,CNC-202,2025-09-23,2025-09-26
AUTO-PROD-1022,1,8958.89,8570.31,64.2,69.0,ALUM-6061,SUP-AUTO-003,385,4,True,CNC-202,2025-10-06,2025-10-09
AUTO-PROD-1023,1,9031.92,9454.86,88.9,97.7,ALUM-6061,SUP-AUTO-002,317,0,False,PRESS-305,2025-10-07,2025-10-10
AUTO-PROD-1024,1,2926.0,2870.22,107.0,101.2,RUBBER-EPDM,SUP-AUTO-001,342,1,True,CNC-101,2025-09-30,2025-10-03
AUTO-PROD-1025,1,3387.26,4289.67,48.4,46.8,RUBBER-EPDM,SUP-AUTO-002,572,3,False,WELD-401,2025-09-22,2025-09-27
AUTO-PROD-1026,1,5100.34,5166.08,105.2,107.3,PLASTIC-ABS,SUP-AUTO-002,389,3,False,PRESS-305,2025-09-14,2025-09-16
AUTO-PROD-1027,1,5122.99,4997.15,85.9,90.0,PLASTIC-ABS,SUP-AUTO-003,257,2,True,CNC-202,2025-09-14,2025-09-16
AUTO-PROD-1028,1,3374.43,3264.69,44.5,49.2,RUBBER-EPDM,SUP-AUTO-003,350,7,True,CNC-101,2025-09-27,2025-10-01
AUTO-PROD-1029,1,6031.54,6057.78,90.4,87.3,PLASTIC-ABS,SUP-AUTO-001,340,2,False,CNC-101,2025-09-13,2025-09-18
AUTO-PROD-1030,1,3135.06,3269.7,71.0,78.1,RUBBER-EPDM,SUP-AUTO-003,522,5,False,PRESS-305,2025-10-11,2025-10-13
AUTO-PROD-1031,1,9139.98,8874.98,67.6,70.5,ALUM-6061,SUP-AUTO-001,570,5,True,CNC-202,2025-09-13,2025-09-15
AUTO-PROD-1032,1,9136.33,9072.38,84.3,85.1,ALUM-6061,SUP-AUTO-002,354,2,True,PRESS-305,2025-10-01,2025-10-04
AUTO-PROD-1033,1,9158.57,8955.14,90.0,84.6,ALUM-6061,SUP-AUTO-003,389,5,True,CNC-202,2025-10-05,2025-10-07
AUTO-PROD-1034,1,3054.73,3042.55,41.8,43.8,RUBBER-EPDM,SUP-AUTO-003,401,4,False,CNC-202,2025-09-25,2025-09-29
AUTO-PROD-1035,1,8700.43,9153.61,111.3,113.7,ALUM-6061,SUP-AUTO-003,583,1,True,CNC-202,2025-09-28,2025-10-02
AUTO-PROD-1036,1,8627.65,8507.47,118.2,127.9,ALUM-6061,SUP-AUTO-001,446,2,False,CNC-101,2025-09-20,2025-09-24
AUTO-PROD-1037,1,5000.48,5257.08,76.7,82.7,PLASTIC-ABS,SUP-AUTO-001,342,3,True,CNC-202,2025-09-19,2025-09-22
AUTO-PROD-1038,1,13046.53,12749.1,51.0,54.9,STEEL-304L,SUP-AUTO-001,596,3,True,CNC-101,2025-09-26,2025-09-30
AUTO-PROD-1039,1,11100.48,11553.48,97.0,103.8,STEEL-304L,SUP-AUTO-002,259,1,False,CNC-202,2025-10-06,2025-10-10
AUTO-PROD-1040,1,3220.63,3467.17,117.3,113.5,RUBBER-EPDM,SUP-AUTO-002,374,0,True,PRESS-305,2025-09-18,2025-09-22
AUTO-PROD-1041,1,12473.37,12090.11,75.8,80.3,STEEL-304L,SUP-AUTO-003,320,6,True,CNC-101,2025-09-27,2025-09-30
AUTO-PROD-1042,1,3240.85,3196.29,49.1,53.7,RUBBER-EPDM,SUP-AUTO-003,373,5,True,WELD-401,2025-09-30,2025-10-02
AUTO-PROD-1043,1,5911.86,5816.53,101.1,103.9,PLASTIC-ABS,SUP-AUTO-001,280,0,True,PRESS-305,2025-09-13,2025-09-17
AUTO-PROD-1044,1,3350.39,3246.68,86.0,83.8,RUBBER-EPDM,SUP-AUTO-001,250,5,False,CNC-202,2025-10-05,2025-10-07
AUTO-PROD-1045,1,3054.04,3975.12,115.8,107.0,RUBBER-EPDM,SUP-AUTO-003,529,4,False,WELD-401,2025-10-10,2025-10-14
AUTO-PROD-1046,1,8272.61,8865.56,83.5,83.6,ALUM-6061,SUP-AUTO-001,594,1,True,CNC-101,2025-09-17,2025-09-21
AUTO-PROD-1047,1,5819.53,5563.99,64.9,63.4,PLASTIC-ABS,SUP-AUTO-002,449,0,True,PRESS-305,2025-10-01,2025-10-06
AUTO-PROD-1048,1,5723.4,5922.51,81.6,88.3,PLASTIC-ABS,SUP-AUTO-001,300,4,True,PRESS-305,2025-09-27,2025-09-29
AUTO-PROD-1049,1,12543.6,12229.49,103.5,115.0,STEEL-304L,SUP-AUTO-003,423,2,False,CNC-202,2025-10-07,2025-10-09
AUTO-PROD-1050,1,3221.8,3392.94,57.2,59.1,RUBBER-EPDM,SUP-AUTO-003,478,4,False,PRESS-305,2025-09-19,2025-09-24
AUTO-PROD-1051,1,5067.53,5340.06,94.6,101.5,PLASTIC-ABS,SUP-AUTO-001,273,3,True,CNC-101,2025-10-09,2025-10-11
AUTO-PROD-1052,1,5043.81,5200.76,58.2,62.7,PLASTIC-ABS,SUP-AUTO-002,594,10,True,CNC-101,2025-09-22,2025-09-25
AUTO-PROD-1053,1,2910.92,3572.16,55.0,53.2,RUBBER-EPDM,SUP-AUTO-002,525,8,True,WELD-401,2025-09-26,2025-09-29
AUTO-PROD-1054,1,3467.13,3482.53,49.8,50.3,RUBBER-EPDM,SUP-AUTO-003,339,0,True,CNC-101,2025-09-21,2025-09-23
AUTO-PROD-1055,1,5092.61,5185.61,46.1,47.1,PLASTIC-ABS,SUP-AUTO-003,341,5,True,CNC-202,2025-10-09,2025-10-13
AUTO-PROD-1056,1,5480.32,5787.49,93.7,87.0,PLASTIC-ABS,SUP-AUTO-003,329,0,False,PRESS-305,2025-09-21,2025-09-23
