work_order_number,facility_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,material_code,supplier_id,units_produced,units_scrapped,quality_issues,machine_id,production_period_start,production_period_end
FB-BATCH-3000,1,4339.92,4375.58,73.1,77.3,INGREDIENT-FLOUR,SUP-FOOD-001,860,7,False,OVEN-202,2025-10-02,2025-10-03
FB-BATCH-3001,1,1797.54,2002.28,47.3,51.4,PACKAGING-CARTON,SUP-FOOD-002,1122,21,False,OVEN-202,2025-09-24,2025-09-27
FB-BATCH-3002,1,4301.04,4280.28,72.7,76.0,INGREDIENT-SUGAR,SUP-FOOD-003,1215,24,False,PACK-303,2025-10-09,2025-10-10
FB-BATCH-3003,1,4132.8,5038.97,40.9,48.4,INGREDIENT-FLOUR,SUP-FOOD-002,741,67,True,PACK-303,2025-09-16,2025-09-19
FB-BATCH-3004,1,4144.59,4916.82,58.0,75.3,INGREDIENT-FLOUR,SUP-FOOD-003,1207,127,True,MIX-101,2025-09-13,2025-09-15
FB-BATCH-3005,1,4266.83,4239.19,48.1,51.9,INGREDIENT-FLOUR,SUP-FOOD-003,1676,15,False,OVEN-202,2025-09-13,2025-09-16
FB-BATCH-3006,1,1564.59,1660.34,33.3,31.7,PACKAGING-CARTON,SUP-FOOD-003,1996,2,False,OVEN-202,2025-09-14,2025-09-16
FB-BATCH-3007,1,1752.31,1923.86,51.0,53.0,PACKAGING-CARTON,SUP-FOOD-003,1847,5,False,OVEN-202,2025-09-20,2025-09-21
FB-BATCH-3008,1,4374.76,4649.07,31.3,34.3,INGREDIENT-SUGAR,SUP-FOOD-001,1987,10,False,OVEN-202,2025-09-17,2025-09-20
FB-BATCH-3009,1,4207.58,4302.63,57.3,61.6,INGREDIENT-SUGAR,SUP-FOOD-003,1196,9,False,OVEN-202,2025-10-12,2025-10-15
FB-BATCH-3010,1,4418.96,4459.75,41.6,40.2,INGREDIENT-FLOUR,SUP-FOOD-001,1630,4,False,OVEN-202,2025-10-09,2025-10-12
FB-BATCH-3011,1,1774.41,1964.67,40.8,44.5,PACKAGING-CARTON,SUP-FOOD-001,1825,6,False,MIX-101,2025-10-03,2025-10-05
FB-BATCH-3012,1,4555.75,5086.0,46.8,51.3,INGREDIENT-SUGAR,SUP-FOOD-003,1633,15,False,MIX-101,2025-10-09,2025-10-11
FB-BATCH-3013,1,2115.98,2144.76,50.6,46.7,INGREDIENT-YEAST,SUP-FOOD-002,1191,5,False,MIX-101,2025-10-11,2025-10-13
